name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM ,9599000,0.501093186,0.2953,6.14E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM ,106X_upgrade2018_realistic_v16_L1v1,FALSE,POWHEG,NONE,2018
ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,9983000,0.225212704,0.1298,5.77E-05,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,106X_upgrade2018_realistic_v16_L1v1,FALSE,POWHEG,NONE,2018
ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,9996000,0.053953051,0.0314,5.82E-05,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,106X_upgrade2018_realistic_v16_L1v1,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,11974550,301.0089886,365.46,1.01E-04,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,106X_upgrade2018_realistic_v16_L1v1,FALSE,POWHEG,NONE,2018
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,7302900,72.07778445,88.34,1.68E-04,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,106X_upgrade2018_realistic_v16_L1v1,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SingleElectronA,/EGamma/Run2018A-UL2018_MiniAODv2-v1/MINIAOD,339013231,1,1,2.95E-06,/EGamma/Run2018A-UL2018_MiniAODv2_GT36-v1/MINIAOD,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
SingleElectronB,/EGamma/Run2018B-UL2018_MiniAODv2-v1/MINIAOD ,153792795,1,1,6.50E-06,/EGamma/Run2018B-UL2018_MiniAODv2_GT36-v1/MINIAOD ,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
SingleElectronC,/EGamma/Run2018C-UL2018_MiniAODv2-v1/MINIAOD ,147827904,1,1,6.76E-06,/EGamma/Run2018C-UL2018_MiniAODv2_GT36-v1/MINIAOD ,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
SingleElectronD,/EGamma/Run2018D-UL2018_MiniAODv2-v2/MINIAOD ,752524583,1,1,1.33E-06,/EGamma/Run2018D-UL2018_MiniAODv2-v2/MINIAOD ,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
SingleMuonA,/SingleMuon/Run2018A-UL2018_MiniAODv2-v3/MINIAOD,241613524,1,1,4.14E-06,/SingleMuon/Run2018A-UL2018_MiniAODv2-v3/MINIAOD,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
SingleMuonB,/SingleMuon/Run2018B-UL2018_MiniAODv2-v2/MINIAOD,119918017,1,1,8.34E-06,/SingleMuon/Run2018B-UL2018_MiniAODv2-v2/MINIAOD,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
SingleMuonC,/SingleMuon/Run2018C-UL2018_MiniAODv2-v2/MINIAOD ,109986009,1,1,9.09E-06,/SingleMuon/Run2018C-UL2018_MiniAODv2-v2/MINIAOD ,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
SingleMuonD,/SingleMuon/Run2018D-UL2018_MiniAODv2-v3/MINIAOD ,513909894,1,1,1.95E-06,/SingleMuon/Run2018D-UL2018_MiniAODv2-v3/MINIAOD ,106X_dataRun2_v36,TRUE,notSpecified,NONE,2018
,,,,,,,,,,,
TTHHTo4b_5f_LO_TuneCP5_13TeV_madgraph_pythia8,/TTHHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,9598000,1,0.000262872,2.74E-08,/TTHHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,106X_upgrade2018_realistic_v16_L1v1,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
TT4b_TuneCP5_13TeV_madgraph_pythia8,/TT4b_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,9844000,1,0.296,3.01E-05,/TT4b_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,106X_upgrade2018_realistic_v16_L1v1,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
,,,,,,,,,,,
